#name,chromosome,start,end,x1,y1,x2,y2
lg1,zmchr2,46.98,46.98,169,199,174,199,Name=lg1;color=green
dia1,zmchr2,374,374,169,330,174,330,ID=dia1
dbf3,zmchr2,432,432,169,353,174,353,ID=dbf3;color=red
tua5,zmchr2,498,498,169,379,174,379,ID=tua5;color=blue
apx2,zmchr2,575,575,169,410,174,410,ID=apx2
pex1,zmchr2,657,657,169,443,174,443,ID=pex1;color=chartreuse
g2,zmchr3,2,2,220,184,225,184,ID=g2;color=chartreuse
e8,zmchr3,44,44,220,200,225,200,ID=e8
lg3,zmchr3,232.6,232.6,220,276,225,276,ID=lg3
rp3,zmchr3,288.9,288.9,220,298,225,298,ID=rp3;color=red
vp1,zmchr3,340,340,220,319,225,319,ID=vp1;color=chartreuse
lg2,zmchr3,413,413,220,348,225,348,ID=lg2
y10,zmchr3,580,580,220,415,225,415,ID=y10
a1,zmchr3,699.2,699.2,220,462,225,462,ID=a1
tie-dyed1,zmchr6,536.50,536.50,371,359,376,359,Name=tie-dyed1;color=red
bronze1,zmchr9,90.10,90.10,514,213,519,213,Name=bronze1;color=chocolate
waxy1,zmchr9,191.70,191.70,514,254,519,254,Name=waxy1;color=orange
tub1,zmchr1,2.5,2.5,113,142,118,142,ID=tub1
spr1,zmchr1,24,24,113,151,118,151,ID=spr1;color=red
asg31,zmchr1,66.9,66.9,113,168,118,168,ID=asg31;color=LawnGreen
amyb2,zmchr1,96.0,96.0,113,180,118,180,ID=amyb2;color=tomato
lox9,zmchr1,147.4,147.4,113,200,118,200,ID=lox9;color=darkgreen
zmm14,zmchr1,190.4,190.4,113,217,118,217,ID=zmm14;color=chocolate
sig2B,zmchr1,230.12,230.12,113,233,118,233,ID=sig2B
sod4,zmchr1,337.5,337.5,113,276,118,276,ID=sod4;color=red
mlo2,zmchr1,405,405,113,303,118,303,ID=mlo2
rs2,zmchr1,457,457,113,324,118,324,ID=rs2
sodh1,zmchr1,607,607,113,384,118,384,ID=sodh1;color=red
nip3a,zmchr1,701,701,113,422,118,422,ID=nip3a
tb1,zmchr1,882.70,882.70,113,494,118,494,Name=tb1;color=darkgreen
lem1,zmchr1,951,951,113,522,118,522,ID=lem1;color=blue
tufm1,zmchr1,1121,1121,113,590,118,590,ID=tufm1
mlo9,zmchr2,4,4,169,182,174,182,ID=mlo9;color=blue
aox2,zmchr2,148,148,169,239,174,239,ID=aox2;color=red
grx1,zmchr2,250.8,250.8,169,280,174,280,ID=grx1;color=blue
opr5,zmchr2,304,304,169,302,174,302,ID=opr5
,zmchr10,191.40,191.40,554,258,563,258,ID=
,zmchr2,344.80,344.80,174,318,183,318,ID=
,zmchr3,254.00,254.00,225,284,234,284,ID=
,zmchr4,298.90,298.90,260,259,269,259,ID=
,zmchr5,313.34,313.34,295,307,304,307,ID=
,zmchr6,98.00,98.00,376,184,385,184,ID=
,zmchr7,184.10,184.10,411,255,420,255,ID=
,zmchr8,207.90,207.90,446,265,455,265,ID=
,zmchr9,224.70,224.70,519,267,528,267,ID=
,zmchr1,439.30,439.30,118,317,127,317,ID=
zmchr1,zmchr1,-144,1310.63,120,82,125,664
zmchr2,zmchr2,-47,761.30,176,120.8,181,445
zmchr3,zmchr3,-40,986.00,227,123.6,232,535
zmchr4,zmchr4,-149,804.83,262,80,267,462
zmchr5,zmchr5,-43,696.00,297,122.4,302,419
zmchr6,zmchr6,-136,683.13,378,85.2,383,413
zmchr7,zmchr7,-43,684.30,413,122.4,418,414
zmchr8,zmchr8,-43,895.00,448,122.4,453,498
zmchr9,zmchr9,-54,692,521,118,526,417
zmchr10,zmchr10,-43,740,556,122.4,561,436
